Expected state of the register file at the end of the execution of all instructions.
R00: 0000FFFF0000FFFF0000FFFF0000FFFF 
R01: FFFF01FFFFFF01FFFFFF01FFFFFF01FF 
R02: 00000308000003080000030800000308 
R03: 00000308000003080000030800000308 
R04: FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF 
R05: 00100009001000090010000900100009 
R06: 00100010001000100010001000100010 
R07: 00000000000000000000000000000000 
R08: 00000000000000000000000000000000 
R09: 00000000000000000000000000000000 
R10: 0008323F0008323F0008323F0008323F 
R11: FFF9F610FFF9F610FFF9F610FFF9F610 
R12: FFFF01FFFFFF01FFFFFF01FFFFFF01FF 
R13: FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF
R14: FFFF02000008323FFFFF02000008323F 
R15: 00000307FCFE100000000307FCFE1000 
R16: 000832390226084F000832390226084F 
R17: FFFF02317EEC540FFFFF02317EEC540F 
R18: 00000018000000180000001800000018 
R19: 000F0208000F0208000F0208000F0208 
R20: FFFF0507FFFF0507FFFF0507FFFF0507 
R21: FFFF01FFFFFF01FFFFFF01FFFFFF01FF
R22: FFFF0200FFFFFFFFFFFF0200FFFFFFFF 
R23: 00980A8F0084F00000980A8F0084F000 
R24: 000001FF000001FF000001FF000001FF 
R25: 00000308000003080000030800000308 
R26: FFEFFFF6FFEFFFF6FFEFFFF6FFEFFFF6 
R27: FFFFFF01FFFFFF01FFFFFF01FFFFFF01 
R28: 00000000000000000000000000000000 
R29: FFFFFEF7FFFFFEF7FFFFFEF7FFFFFEF7 
R30: 00000000000000000000000000000000 
R31: 00000000000000000000000000000000 
